<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.11.03	2094.27	2103.27	2084.74	2088.00	8804	0	70
2016.11.04	2089.09	2098.83	2083.83	2083.92	8758	0	70
2016.11.07	2111.30	2135.40	2107.46	2135.00	4571	0	70
2016.11.08	2132.53	2146.81	2122.76	2138.58	7370	0	70
2016.11.09	2141.43	2170.43	2031.30	2164.09	69099	0	70
2016.11.10	2162.74	2183.87	2151.47	2167.84	25971	0	70
2016.11.11	2168.49	2173.87	2152.22	2164.48	18639	0	70
2016.11.14	2167.01	2177.39	2155.58	2164.10	15502	0	70
2016.11.15	2163.84	2181.84	2161.22	2181.50	10824	0	70
2016.11.16	2180.84	2186.97	2170.97	2174.68	9329	0	70
2016.11.17	2174.83	2187.77	2174.21	2186.79	7863	0	70
2016.11.18	2185.94	2189.42	2178.57	2182.45	7076	0	70
2016.11.21	2181.40	2198.53	2180.60	2195.65	5717	0	70
2016.11.22	2195.30	2204.93	2194.03	2203.58	5918	0	70
2016.11.23	2203.23	2205.36	2194.21	2202.44	5506	0	70
2016.11.24	2203.09	2208.72	2199.47	2207.72	2023	0	90
2016.11.25	2208.09	2212.84	2204.47	2212.59	3280	0	70
2016.11.28	2210.11	2211.09	2200.19	2201.04	5682	0	70
2016.11.29	2201.69	2210.48	2197.67	2203.87	5538	0	70
2016.11.30	2203.52	2213.90	2197.76	2198.86	7404	0	70
2016.12.01	2199.76	2203.64	2186.88	2191.50	9008	0	70
2016.12.02	2191.15	2197.81	2185.03	2191.84	6909	0	70
2016.12.05	2182.36	2209.09	2179.99	2205.78	10218	0	70
2016.12.06	2205.43	2212.68	2200.81	2211.62	5788	0	70
2016.12.07	2211.52	2241.76	2206.90	2236.64	6501	0	70
2016.12.08	2236.54	2251.68	2233.17	2247.80	8919	0	70
2016.12.09	2246.93	2260.80	2245.31	2260.39	6226	0	70
2016.12.12	2261.17	2270.55	2252.25	2255.38	7577	0	70
2016.12.13	2255.13	2277.63	2252.76	2272.59	5384	0	70
2016.12.14	2272.24	2276.77	2247.52	2256.04	10536	0	70
2016.12.15	2255.94	2271.92	2251.32	2263.34	11933	0	70
2016.12.16	2263.49	2267.87	2254.23	2259.42	5998	0	70
2016.12.19	2260.94	2267.87	2258.62	2264.41	5171	0	70
2016.12.20	2264.06	2273.29	2263.94	2269.42	3887	0	70
2016.12.21	2270.07	2270.80	2260.54	2261.14	2944	0	70
2016.12.22	2261.04	2263.42	2254.73	2260.39	2919	0	70
2016.12.23	2260.39	2263.77	2257.37	2263.02	1804	0	70
2016.12.27	2262.67	2273.28	2261.17	2264.11	1608	0	70
2016.12.28	2264.76	2270.89	2247.73	2248.74	3130	0	70
2016.12.29	2249.64	2253.87	2243.93	2250.19	3585	0	70
2016.12.30	2250.59	2256.72	2232.32	2238.76	5278	0	70
2017.01.03	2247.92	2263.52	2243.63	2255.74	6980	0	70
2017.01.04	2256.39	2272.03	2254.77	2269.27	4836	0	70
2017.01.05	2269.02	2270.53	2259.53	2268.96	5872	0	70
2017.01.06	2268.85	2281.98	2263.08	2276.46	5672	0	70
2017.01.09	2275.84	2280.12	2268.72	2269.15	3843	0	70
2017.01.10	2269.55	2278.97	2264.68	2268.63	4777	0	70
2017.01.11	2268.53	2276.67	2260.20	2275.92	8809	0	70
2017.01.12	2275.42	2275.42	2253.67	2269.69	6389	0	70
2017.01.13	2269.44	2278.42	2268.32	2277.44	4656	0	70
2017.01.16	2275.19	2275.44	2270.07	2271.42	1398	0	70
2017.01.17	2270.69	2272.32	2262.36	2266.84	5137	0	70
2017.01.18	2266.49	2272.87	2262.97	2269.53	4073	0	70
2017.01.19	2269.73	2273.91	2257.74	2265.70	4671	0	70
2017.01.20	2265.45	2277.18	2263.90	2269.33	6161	0	70
2017.01.23	2270.10	2271.33	2256.18	2265.50	4967	0	70
2017.01.24	2265.15	2284.58	2264.03	2279.44	3815	0	70
2017.01.25	2279.59	2299.27	2278.97	2297.85	3717	0	70
2017.01.26	2297.50	2303.38	2293.83	2298.08	3771	0	70
2017.01.27	2297.98	2300.61	2291.13	2292.79	3209	0	70
2017.01.30	2286.30	2289.42	2267.07	2279.68	4584	0	70
2017.01.31	2279.58	2281.84	2266.58	2280.69	5941	0	70
2017.02.01	2280.59	2288.57	2271.90	2278.11	6905	0	70
2017.02.02	2278.26	2282.99	2267.89	2278.19	5691	36889999999996311	70
2017.02.03	2277.69	2297.94	2274.32	2295.45	4561	44719999999995528	70
2017.02.06	2295.90	2298.08	2287.83	2291.05	4746	46649999999995335	70
2017.02.07	2290.55	2299.00	2288.43	2290.10	5548	55319999999994468	70
2017.02.08	2289.32	2295.60	2284.80	2294.10	5378	53779999999994622	70
2017.02.09	2293.44	2311.44	2288.90	2307.57	4057	40569999999995943	70
2017.02.10	2307.42	2319.00	2306.45	2315.43	3850	38499999999996150	70
2017.02.13	2315.53	2331.57	2315.53	2328.67	3695	36949999999996305	70
2017.02.14	2328.17	2339.54	2321.90	2337.06	4549	45489999999995451	70
2017.02.15	2337.16	2353.12	2332.69	2352.12	4501	45009999999995499	70
2017.02.16	2351.87	2352.37	2338.35	2347.23	5778	57779999999994222	70
2017.02.17	2346.33	2349.87	2337.86	2348.74	4891	48909999999995109	70
2017.02.20	2349.59	2357.87	2347.37	2354.97	2201	22009999999997799	70
2017.02.21	2354.21	2366.52	2350.37	2361.56	4592	45919999999995408	70
2017.02.22	2361.41	2364.94	2356.44	2363.66	4723	47229999999995277	70
2017.02.23	2363.26	2368.79	2354.70	2363.41	4352	43519999999995648	70
2017.02.24	2362.76	2366.48	2350.54	2365.13	5071	50709999999994929	70
2017.02.27	2364.76	2371.24	2361.64	2365.79	6503	65029999999993497	70
2017.02.28	2365.79	2369.07	2358.17	2364.82	5259	52589999999994741	70
2017.03.01	2364.67	2401.01	2363.45	2392.34	7855	78549999999992145	70
2017.03.02	2392.49	2394.22	2378.45	2381.07	6005	60049999999993995	70
2017.03.03	2380.42	2383.81	2374.20	2381.28	5775	57749999999994225	70
2017.03.06	2381.03	2381.03	2367.76	2370.86	5273	52729999999994727	70
2017.03.07	2370.91	2375.74	2364.89	2366.16	3903	39029999999996097	70
2017.03.08	2366.06	2373.14	2359.79	2362.73	5342	53419999999994658	70
2017.03.09	2363.18	2368.96	2353.96	2367.68	5803	58029999999994197	70
2017.03.10	2366.88	2379.06	2361.90	2371.30	7377	73769999999992623	70
2017.03.13	2369.80	2374.43	2366.80	2373.00	4092	40919999999995908	70
2017.03.14	2373.44	2373.72	2357.32	2365.99	4900	48999999999995100	70
2017.03.15	2367.59	2390.32	2365.62	2381.35	6541	65409999999993459	70
2017.03.16	2381.35	2391.13	2376.86	2382.02	6207	62069999999993793	70
2017.03.17	2381.97	2385.49	2376.07	2377.94	4428	44279999999995572	70
2017.03.20	2376.80	2379.42	2369.17	2372.73	4141	41409999999995859	70
