<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.08.15	1214.47	1237.31	1213.90	1227.55	93351	0	0
2010.08.22	1227.22	1244.05	1210.00	1237.63	105748	0	0
2010.08.29	1237.75	1254.47	1231.70	1246.40	105624	0	0
2010.09.05	1247.38	1262.50	1236.53	1246.01	114387	0	0
2010.09.12	1246.10	1282.65	1240.97	1273.70	134693	0	0
2010.09.19	1277.97	1299.72	1270.65	1296.05	123021	0	0
2010.09.26	1297.00	1320.51	1282.40	1318.50	121811	0	0
2010.10.03	1317.25	1364.65	1312.20	1344.60	159323	0	0
2010.10.10	1347.50	1387.07	1340.18	1368.10	165742	0	0
2010.10.17	1367.93	1374.80	1314.90	1327.95	189153	0	0
2010.10.24	1326.95	1359.15	1318.72	1358.90	181457	0	0
2010.10.31	1359.03	1397.98	1325.48	1393.13	174575	0	0
2010.11.07	1393.10	1424.25	1359.97	1368.30	240595	0	0
2010.11.14	1369.98	1376.63	1329.44	1353.08	209305	0	0
2010.11.21	1357.28	1382.35	1348.34	1362.85	160780	0	0
2010.11.28	1363.85	1415.34	1352.99	1413.43	187697	0	0
2010.12.05	1413.50	1431.03	1371.15	1385.50	196392	0	0
2010.12.12	1386.00	1407.90	1361.25	1374.78	187931	0	0
2010.12.19	1375.88	1392.00	1372.05	1384.38	97615	0	0
2010.12.26	1383.18	1419.10	1372.25	1418.22	191552	0	0
2011.01.02	1418.75	1423.70	1352.55	1369.08	170152	0	0
2011.01.09	1369.43	1393.00	1354.96	1361.60	153460	0	0
2011.01.16	1361.30	1379.18	1337.60	1342.28	139450	0	0
2011.01.23	1343.63	1353.27	1308.07	1336.36	158315	0	0
2011.01.30	1338.38	1358.00	1323.05	1348.60	147372	0	0
2011.02.06	1347.10	1368.41	1343.35	1356.40	114637	0	0
2011.02.13	1357.30	1391.80	1353.84	1389.63	110459	0	0
2011.02.20	1389.93	1417.99	1389.74	1410.10	128170	0	0
2011.02.27	1409.70	1440.07	1404.70	1430.38	192792	0	0
2011.03.06	1434.40	1444.61	1402.99	1417.05	217689	0	0
2011.03.13	1420.03	1432.76	1380.71	1418.32	499728	0	0
2011.03.20	1424.20	1447.61	1419.41	1429.53	351719	0	0
2011.03.27	1427.75	1439.38	1410.13	1428.34	164889	0	0
2011.04.03	1428.41	1474.87	1427.71	1474.30	149532	0	0
2011.04.10	1474.85	1488.06	1443.92	1486.35	211037	0	0
2011.04.17	1486.13	1509.08	1477.32	1504.50	173629	0	0
2011.04.24	1511.50	1569.25	1492.69	1562.90	185513	0	0
2011.05.01	1567.03	1576.48	1462.35	1495.08	333381	0	0
2011.05.08	1495.50	1526.44	1477.85	1494.70	281106	0	0
2011.05.15	1494.32	1515.65	1471.77	1511.37	247460	0	0
2011.05.22	1512.57	1538.18	1503.79	1535.93	213350	0	0
2011.05.29	1536.45	1550.26	1519.40	1541.60	186488	0	0
2011.06.05	1542.63	1553.44	1525.78	1530.82	181588	0	0
2011.06.12	1530.65	1541.96	1510.73	1538.95	188571	0	0
2011.06.19	1539.00	1558.07	1498.21	1502.14	182223	0	0
2011.06.26	1502.30	1514.10	1478.04	1487.25	176243	0	0
2011.07.03	1486.38	1545.38	1485.81	1543.70	140117	0	0
2011.07.10	1544.15	1594.00	1540.56	1593.10	199179	0	0
2011.07.17	1593.25	1609.98	1581.00	1600.75	205395	0	0
2011.07.24	1609.00	1632.47	1602.81	1626.65	192467	0	0
2011.07.31	1606.78	1681.96	1606.78	1663.11	289648	0	0
2011.08.07	1683.45	1814.45	1682.25	1746.45	444634	0	0
2011.08.14	1743.70	1877.48	1727.99	1851.55	286925	0	0
2011.08.21	1860.92	1911.89	1702.67	1827.60	466177	0	0
2011.08.28	1836.23	1884.46	1775.85	1882.60	319027	0	0
2011.09.04	1877.55	1920.80	1792.74	1855.30	411122	0	0
2011.09.11	1861.80	1862.05	1762.40	1811.35	394203	0	0
2011.09.18	1817.64	1827.90	1628.58	1656.35	387869	0	0
2011.09.25	1656.97	1677.00	1532.64	1623.50	445632	0	0
2011.10.02	1619.95	1678.55	1595.65	1637.65	321824	0	0
2011.10.09	1639.10	1692.00	1638.10	1680.40	255591	0	0
2011.10.16	1682.18	1694.91	1603.72	1641.82	329305	0	0
2011.10.23	1641.69	1752.35	1635.34	1743.10	301675	0	0
2011.10.30	1743.45	1767.56	1681.00	1754.15	620508	0	0
2011.11.06	1753.72	1802.54	1735.77	1788.08	282253	0	0
2011.11.13	1787.84	1796.03	1710.40	1723.40	294435	0	0
2011.11.20	1723.39	1726.36	1666.66	1680.25	275825	0	0
2011.11.27	1684.08	1762.97	1682.63	1746.18	260531	0	0
2011.12.04	1746.83	1755.85	1701.86	1710.80	261345	0	0
2011.12.11	1712.36	1714.35	1560.00	1598.45	290679	0	0
2011.12.18	1598.88	1641.38	1583.15	1606.36	186089	0	0
2011.12.25	1607.13	1607.13	1522.35	1564.16	156190	0	0
2012.01.01	1565.15	1631.07	1565.15	1616.87	157697	0	0
2012.01.08	1614.85	1661.75	1604.55	1639.20	198345	0	0
2012.01.15	1634.70	1669.87	1631.57	1665.90	156240	0	0
2012.01.22	1663.80	1739.58	1648.82	1738.24	190411	0	0
2012.01.29	1736.17	1762.96	1716.14	1725.43	228441	0	0
2012.02.05	1727.73	1751.98	1704.45	1721.35	176038	0	0
2012.02.12	1725.90	1737.05	1704.90	1723.20	183482	0	0
2012.02.19	1726.45	1787.04	1725.72	1771.90	174854	0	0
2012.02.26	1774.50	1790.42	1686.70	1712.03	198156	0	0
2012.03.04	1710.98	1716.58	1662.63	1713.32	700416	0	0
2012.03.11	1713.86	1713.97	1634.33	1659.50	791801	0	0
2012.03.18	1658.44	1669.62	1627.78	1661.54	687892	0	0
2012.03.25	1662.06	1697.03	1644.93	1667.85	293739	0	0
2012.04.01	1669.71	1683.43	1611.80	1630.06	902917	0	0
2012.04.08	1642.35	1680.03	1631.69	1658.07	637928	0	0
2012.04.15	1654.33	1657.73	1630.86	1642.90	392168	0	0
2012.04.22	1641.63	1667.53	1623.13	1662.65	359141	0	0
2012.04.29	1662.17	1671.45	1626.58	1641.55	308542	0	0
2012.05.06	1641.95	1642.50	1572.68	1579.12	412747	0	0
